Tâche,Métrique,Feuille,Statistique,P-Value,Normalité
CONDENSATION,avg_alignscore,CONDENSATION1,0.8617,0.0016,❌
CONDENSATION,avg_alignscore,CONDENSATION2,0.9588,0.3269,✅
CONDENSATION,avg_bertscore,CONDENSATION1,0.9317,0.0681,✅
CONDENSATION,avg_bertscore,CONDENSATION2,0.9768,0.7672,✅
CONDENSATION,avg_bleurt,CONDENSATION1,0.955,0.2634,✅
CONDENSATION,avg_bleurt,CONDENSATION2,0.9845,0.9408,✅
CONDENSATION,avg_generated_length,CONDENSATION1,0.9039,0.0142,❌
CONDENSATION,avg_generated_length,CONDENSATION2,0.9571,0.2977,✅
CONDENSATION,avg_levenshtein,CONDENSATION1,0.8847,0.0051,❌
CONDENSATION,avg_levenshtein,CONDENSATION2,0.9476,0.1723,✅
CONDENSATION,avg_meteor,CONDENSATION1,0.9787,0.818,✅
CONDENSATION,avg_meteor,CONDENSATION2,0.9684,0.5382,✅
CONDENSATION,avg_original_length,CONDENSATION1,0.4194,0.0,❌
CONDENSATION,avg_original_length,CONDENSATION2,1.0,1.0,✅
CONDENSATION,avg_rouge1,CONDENSATION1,0.9795,0.8379,✅
CONDENSATION,avg_rouge1,CONDENSATION2,0.9811,0.8748,✅
CONDENSATION,avg_rouge2,CONDENSATION1,0.9618,0.385,✅
CONDENSATION,avg_rouge2,CONDENSATION2,0.976,0.7467,✅
CONDENSATION,avg_rougeL,CONDENSATION1,0.9623,0.3948,✅
CONDENSATION,avg_rougeL,CONDENSATION2,0.9709,0.6037,✅
CONDENSATION,human,CONDENSATION1,0.7571,0.0,❌
CONDENSATION,human,CONDENSATION2,0.9053,0.0153,❌
CONDENSATION,length_difference,CONDENSATION1,0.9034,0.0137,❌
CONDENSATION,length_difference,CONDENSATION2,0.9571,0.2977,✅
EVALUATION,F1-Score,EVALUATION1,0.7047,0.0,❌
EVALUATION,F1-Score,EVALUATION2,0.6136,0.0,❌
EVALUATION,avg_alignscore,EVALUATION1,0.9655,0.4672,✅
EVALUATION,avg_alignscore,EVALUATION2,0.8612,0.0016,❌
EVALUATION,human,EVALUATION1,0.768,0.0,❌
EVALUATION,human,EVALUATION2,0.6476,0.0,❌
GENERATION,avg_bertscore,GENERATION1,0.9824,0.9032,✅
GENERATION,avg_bertscore,GENERATION2,0.9439,0.1389,✅
GENERATION,avg_bleurt,GENERATION1,0.9595,0.34,✅
GENERATION,avg_bleurt,GENERATION2,0.9524,0.227,✅
GENERATION,avg_meteor,GENERATION1,0.9457,0.1547,✅
GENERATION,avg_meteor,GENERATION2,0.9707,0.6007,✅
GENERATION,avg_rouge1,GENERATION1,0.936,0.0875,✅
GENERATION,avg_rouge1,GENERATION2,0.9757,0.7386,✅
GENERATION,avg_rouge2,GENERATION1,0.9682,0.5328,✅
GENERATION,avg_rouge2,GENERATION2,0.9687,0.5459,✅
GENERATION,avg_rougeL,GENERATION1,0.9671,0.5062,✅
GENERATION,avg_rougeL,GENERATION2,0.9778,0.794,✅
GENERATION,human,GENERATION1,0.9083,0.018,❌
GENERATION,human,GENERATION2,0.9185,0.0318,❌
